id;tanggal_mulai;tanggal_selesai;alasan;status;pegawai_id
1;2026-06-23;2026-06-23;viciously fine;seldom;1
2;2026-06-23;2026-06-23;big hence;chops bustling;2
3;2026-06-24;2026-06-23;sticker;until;3
4;2026-06-23;2026-06-23;gripping troubled aw;welcome likely;4
5;2026-06-23;2026-06-24;tinderbox along;scratch by;5
6;2026-06-24;2026-06-23;ghost pish charter;round;6
7;2026-06-23;2026-06-23;unruly;furthermore cooperative unexpectedly;7
8;2026-06-24;2026-06-23;sleepily;nor;8
9;2026-06-24;2026-06-23;during brr;considering;9
10;2026-06-24;2026-06-23;besides;incidentally bah cornet;10
11;2026-06-23;2026-06-23;optimal swordfish;onto strong;11
12;2026-06-23;2026-06-24;worth hence savour;rotten blah;12
13;2026-06-23;2026-06-23;outrun elegantly upon;lest sugary;13
14;2026-06-23;2026-06-23;flame;velocity;14
15;2026-06-23;2026-06-23;who;outlandish muscat;15
16;2026-06-23;2026-06-23;optimistically scarily;boohoo;16
17;2026-06-24;2026-06-23;spirit crossly;although order;17
18;2026-06-23;2026-06-23;needily;fortunately silently hunger;18
19;2026-06-23;2026-06-23;ouch muffled;starch;19
20;2026-06-24;2026-06-23;brr;greedily loftily round;20
21;2026-06-23;2026-06-24;limply;favorable;21
22;2026-06-23;2026-06-23;horde yahoo;circa although;22
23;2026-06-24;2026-06-23;against gosh wedge;terribly afterwards;23
24;2026-06-23;2026-06-23;times geez;conjecture joint shark;24
25;2026-06-23;2026-06-23;respray sunny travel;source;25
26;2026-06-23;2026-06-23;browse;furthermore;26
27;2026-06-23;2026-06-23;diagram;curiously;27
28;2026-06-23;2026-06-23;for hm;afore cone;28
29;2026-06-23;2026-06-23;blaspheme beard rarely;fibre reconstitute;29
30;2026-06-23;2026-06-23;because calmly after;fantastic giggle;30
