id;bulan;gaji_pokok;bonus;potongan;total_gaji;pegawai_id
1;2026-06-24;2412.96;21039.88;19392.92;14191.16;1
2;2026-06-23;5102.58;27178.42;30094.08;4617.06;2
3;2026-06-24;28921.79;25092.39;25820.31;30764.43;3
4;2026-06-24;8665.71;26315.89;25482.96;2947.29;4
5;2026-06-23;19151.84;25088.17;2186.39;21970.34;5
6;2026-06-23;20543.88;12311.92;20110.67;2378.65;6
7;2026-06-23;23093.07;28724.65;32390.83;28659.03;7
8;2026-06-23;22245.77;15216.06;19374.23;26061.86;8
9;2026-06-23;15289.24;10473.53;17703.39;9895.66;9
10;2026-06-23;3793.2;19478.47;9779.65;6315.16;10
11;2026-06-24;32071.04;22352.23;14987.37;31900.17;11
12;2026-06-23;9996.45;13078.26;16430.39;27850.85;12
13;2026-06-23;20209.97;5823.87;28160.03;27492.08;13
14;2026-06-23;10410.73;23271.95;11029.33;19547.73;14
15;2026-06-23;26745.67;2448.28;20783.55;21277.12;15
16;2026-06-23;1686.86;27529.72;18613.86;25852.82;16
17;2026-06-23;16616.19;524.66;23976.37;23147.32;17
18;2026-06-24;13271.84;18206.12;30374.31;12830.63;18
19;2026-06-23;12819.61;23082.46;6895.68;8147.17;19
20;2026-06-23;27216.99;9548.43;23522.48;3819.97;20
21;2026-06-23;3226.64;23547.96;22039.76;16871.51;21
22;2026-06-24;13026.23;14779.8;32553.55;30918.5;22
23;2026-06-24;28257.84;21486.19;25857.38;28268.96;23
24;2026-06-23;19582.81;32270.77;15712.82;8874.48;24
25;2026-06-24;14544.98;11373.3;8738.54;24656.61;25
26;2026-06-24;26260.48;24083.77;25000.28;9437.96;26
27;2026-06-23;29093.04;29879.79;20802.16;22549.62;27
28;2026-06-24;2633.81;3153.14;11798.86;7180.77;28
29;2026-06-24;29662.89;22520.61;4970.86;26925.48;29
30;2026-06-23;8304.57;19862.8;15165.18;23164.73;30
